Element(s);Structure;Property;Value;Temp;Reference
Sc,Al;l12;Eheat;-0.49783;0;file=L12/Al3Sc/Al3Sc-L1_2.dat date=2013-02-19
Ti,Al;l12;a;3.95458;0;file=L12/Al3Ti/Al3Ti-L1_2.dat date=2013-02-18
Ti,Al;l12;B;112.07000;0;file=L12/Al3Ti/Al3Ti-L1_2.dat date=2013-02-18
Ti,Al;l12;Eheat;-0.41272;0;file=L12/Al3Ti/Al3Ti-L1_2.dat date=2013-02-18
Y,Al;l12;a;4.22338;0;file=L12/Al3Y/Al3Y-L1_2.dat date=2013-02-19
Y,Al;l12;B;82.57000;0;file=L12/Al3Y/Al3Y-L1_2.dat date=2013-02-19
Y,Al;l12;Eheat;-0.47401;0;file=L12/Al3Y/Al3Y-L1_2.dat date=2013-02-19
Zn,Al;l12;a;3.98531;0;file=L12/Al3Zn/Al3Zn-L1_2.dat date=2013-02-19
Zn,Al;l12;B;83.12000;0;file=L12/Al3Zn/Al3Zn-L1_2.dat date=2013-02-19
Zn,Al;l12;Eheat;0.00662;0;file=L12/Al3Zn/Al3Zn-L1_2.dat date=2013-02-19
Zr,Al;l12;a;4.07532;0;file=L12/Al3Zr/Al3Zr-L1_2.dat date=2013-02-17
Zr,Al;l12;B;108.93000;0;file=L12/Al3Zr/Al3Zr-L1_2.dat date=2013-02-17
Zr,Al;l12;Eheat;-0.50126;0;file=L12/Al3Zr/Al3Zr-L1_2.dat date=2013-02-17
Ag,Au;l12;a;4.08612;0;file=L12/Au3Ag/Au3Ag-L1_2.dat date=2013-02-19
Ag,Au;l12;B;160.97000;0;file=L12/Au3Ag/Au3Ag-L1_2.dat date=2013-02-19
Ag,Au;l12;Eheat;-0.07373;0;file=L12/Au3Ag/Au3Ag-L1_2.dat date=2013-02-19
Al,Au;l12;a;4.05645;0;file=L12/Au3Al/Au3Al-L1_2.dat date=2013-02-19
Al,Au;l12;B;159.41000;0;file=L12/Au3Al/Au3Al-L1_2.dat date=2013-02-19
Al,Au;l12;Eheat;-0.25174;0;file=L12/Au3Al/Au3Al-L1_2.dat date=2013-02-19
Ca,Au;l12;a;4.25505;0;file=L12/Au3Ca/Au3Ca-L1_2.dat date=2013-02-19
Ca,Au;l12;B;99.64000;0;file=L12/Au3Ca/Au3Ca-L1_2.dat date=2013-02-19
Ca,Au;l12;Eheat;-0.50730;0;file=L12/Au3Ca/Au3Ca-L1_2.dat date=2013-02-19
Cd,Au;l12;a;4.13414;0;file=L12/Au3Cd/Au3Cd-L1_2.dat date=2013-02-19
Cd,Au;l12;B;146.94000;0;file=L12/Au3Cd/Au3Cd-L1_2.dat date=2013-02-19
Cd,Au;l12;Eheat;-0.17568;0;file=L12/Au3Cd/Au3Cd-L1_2.dat date=2013-02-19
Co,Au;l12;a;3.96730;0;file=L12/Au3Co/Au3Co-L1_2.dat date=2013-02-18
Co,Au;l12;B;187.01000;0;file=L12/Au3Co/Au3Co-L1_2.dat date=2013-02-18
Co,Au;l12;Eheat;0.24784;0;file=L12/Au3Co/Au3Co-L1_2.dat date=2013-02-18
Cu,Au;l12;a;3.99413;0;file=L12/Au3Cu/Au3Cu-L1_2.dat date=2013-02-19
Cu,Au;l12;B;173.27000;0;file=L12/Au3Cu/Au3Cu-L1_2.dat date=2013-02-19
Cu,Au;l12;Eheat;-0.06160;0;file=L12/Au3Cu/Au3Cu-L1_2.dat date=2013-02-19
Hf,Au;l12;a;4.17578;0;file=L12/Au3Hf/Au3Hf-L1_2.dat date=2013-02-19
Hf,Au;l12;B;161.52000;0;file=L12/Au3Hf/Au3Hf-L1_2.dat date=2013-02-19
Hf,Au;l12;Eheat;-0.25936;0;file=L12/Au3Hf/Au3Hf-L1_2.dat date=2013-02-19
Ir,Au;l12;a;4.03553;0;file=L12/Au3Ir/Au3Ir-L1_2.dat date=2013-02-19
Ir,Au;l12;B;213.77000;0;file=L12/Au3Ir/Au3Ir-L1_2.dat date=2013-02-19
Ir,Au;l12;Eheat;0.33270;0;file=L12/Au3Ir/Au3Ir-L1_2.dat date=2013-02-19
La,Au;l12;a;4.45295;0;file=L12/Au3La/Au3La-L1_2.dat date=2013-02-19
La,Au;l12;B;93.77000;0;file=L12/Au3La/Au3La-L1_2.dat date=2013-02-19
La,Au;l12;Eheat;-0.45034;0;file=L12/Au3La/Au3La-L1_2.dat date=2013-02-19
Mg,Au;l12;a;4.09138;0;file=L12/Au3Mg/Au3Mg-L1_2.dat date=2013-02-19
Mg,Au;l12;B;135.32000;0;file=L12/Au3Mg/Au3Mg-L1_2.dat date=2013-02-19
Mg,Au;l12;Eheat;-0.43167;0;file=L12/Au3Mg/Au3Mg-L1_2.dat date=2013-02-19
Ni,Au;l12;a;3.97204;0;file=L12/Au3Ni/Au3Ni-L1_2.dat date=2013-02-19
Ni,Au;l12;B;183.74000;0;file=L12/Au3Ni/Au3Ni-L1_2.dat date=2013-02-19
Ni,Au;l12;Eheat;0.06206;0;file=L12/Au3Ni/Au3Ni-L1_2.dat date=2013-02-19
Pb,Au;l12;a;4.29144;0;file=L12/Au3Pb/Au3Pb-L1_2.dat date=2013-02-19
Pb,Au;l12;B;108.71000;0;file=L12/Au3Pb/Au3Pb-L1_2.dat date=2013-02-19
Pb,Au;l12;Eheat;0.03644;0;file=L12/Au3Pb/Au3Pb-L1_2.dat date=2013-02-19
Pd,Au;l12;a;4.04814;0;file=L12/Au3Pd/Au3Pd-L1_2.dat date=2013-02-19
Pd,Au;l12;B;180.70000;0;file=L12/Au3Pd/Au3Pd-L1_2.dat date=2013-02-19
Pd,Au;l12;Eheat;-0.09763;0;file=L12/Au3Pd/Au3Pd-L1_2.dat date=2013-02-19
Pt,Au;l12;a;4.05774;0;file=L12/Au3Pt/Au3Pt-L1_2.dat date=2013-02-19
Pt,Au;l12;B;195.93000;0;file=L12/Au3Pt/Au3Pt-L1_2.dat date=2013-02-19
Pt,Au;l12;Eheat;0.00643;0;file=L12/Au3Pt/Au3Pt-L1_2.dat date=2013-02-19
